date,campaign_id_x,campaign,channel,impressions,clicks,spend,conversions,revenue,store_id,store,city_x,visits,unique_visitors,city_y,temperature,rainfall,customer_id, signup_date,segment,city,ltv,lpd,campaign_id_y,planned_spend,actual_spend
2024-12-05,3106,Campaign_3106,Google Ads,368954,2946,4885.33,387,57613.71,908.0,Store_908,Kolkata,2919.0,1029.0,Hyderabad,27.3,3.4,1.0,22-07-2023,Medium-Value,Mumbai,24594.81,30-07-2024,6234.0,9583.06,10469.76
2024-12-05,3106,Campaign_3106,Google Ads,368954,2946,4885.33,387,57613.71,908.0,Store_908,Kolkata,2919.0,1029.0,Hyderabad,27.3,3.4,1.0,22-07-2023,Medium-Value,Mumbai,24594.81,30-07-2024,1337.0,5766.67,6815.38
2024-12-05,3106,Campaign_3106,Google Ads,368954,2946,4885.33,387,57613.71,908.0,Store_908,Kolkata,2919.0,1029.0,Hyderabad,27.3,3.4,1.0,22-07-2023,Medium-Value,Mumbai,24594.81,30-07-2024,6721.0,9244.7,10997.43
2024-12-05,3106,Campaign_3106,Google Ads,368954,2946,4885.33,387,57613.71,908.0,Store_908,Kolkata,2919.0,1029.0,Hyderabad,27.3,3.4,1.0,22-07-2023,Medium-Value,Mumbai,24594.81,30-07-2024,5736.0,8785.36,8985.18
2024-12-05,3106,Campaign_3106,Google Ads,368954,2946,4885.33,387,57613.71,908.0,Store_908,Kolkata,2919.0,1029.0,Hyderabad,27.3,3.4,1.0,22-07-2023,Medium-Value,Mumbai,24594.81,30-07-2024,2520.0,7595.08,8171.0
2024-12-05,3106,Campaign_3106,Google Ads,368954,2946,4885.33,387,57613.71,750.0,Store_750,Mumbai,958.0,3387.0,Hyderabad,27.3,3.4,2.0,27-01-2024,Medium-Value,Kolkata,44409.93,21-12-2024,6234.0,9583.06,10469.76
2024-12-05,3106,Campaign_3106,Google Ads,368954,2946,4885.33,387,57613.71,750.0,Store_750,Mumbai,958.0,3387.0,Hyderabad,27.3,3.4,2.0,27-01-2024,Medium-Value,Kolkata,44409.93,21-12-2024,1337.0,5766.67,6815.38
2024-12-05,3106,Campaign_3106,Google Ads,368954,2946,4885.33,387,57613.71,750.0,Store_750,Mumbai,958.0,3387.0,Hyderabad,27.3,3.4,2.0,27-01-2024,Medium-Value,Kolkata,44409.93,21-12-2024,6721.0,9244.7,10997.43
2024-12-05,3106,Campaign_3106,Google Ads,368954,2946,4885.33,387,57613.71,750.0,Store_750,Mumbai,958.0,3387.0,Hyderabad,27.3,3.4,2.0,27-01-2024,Medium-Value,Kolkata,44409.93,21-12-2024,5736.0,8785.36,8985.18
2024-12-05,3106,Campaign_3106,Google Ads,368954,2946,4885.33,387,57613.71,750.0,Store_750,Mumbai,958.0,3387.0,Hyderabad,27.3,3.4,2.0,27-01-2024,Medium-Value,Kolkata,44409.93,21-12-2024,2520.0,7595.08,8171.0
2024-02-15,4181,Campaign_4181,LinkedIn,81644,5111,3998.87,333,49574.59,,,,,,Bengaluru,37.3,34.7,3.0,13-08-2023,Medium-Value,Hyderabad,35323.3,14-05-2024,,,
2024-02-15,4181,Campaign_4181,LinkedIn,81644,5111,3998.87,333,49574.59,,,,,,Chennai,39.9,11.3,4.0,28-01-2023,Medium-Value,Delhi,39104.0,05-05-2023,,,
2024-02-15,4181,Campaign_4181,LinkedIn,81644,5111,3998.87,333,49574.59,,,,,,Mumbai,18.3,3.1,5.0,14-09-2024,High-Value,Hyderabad,12958.84,16-09-2025,,,
2024-10-27,1358,Campaign_1358,YouTube,451565,8353,3357.62,422,62824.25,123.0,Store_123,Delhi,2052.0,2126.0,Pune,22.6,1.1,6.0,26-01-2024,Low-Value,Mumbai,18112.92,11-09-2024,,,
2024-10-27,1358,Campaign_1358,YouTube,451565,8353,3357.62,422,62824.25,123.0,Store_123,Delhi,2052.0,2126.0,Chennai,36.6,3.9,7.0,10-02-2023,Low-Value,Kolkata,6552.12,21-04-2023,,,
2024-10-27,1358,Campaign_1358,YouTube,451565,8353,3357.62,422,62824.25,123.0,Store_123,Delhi,2052.0,2126.0,Pune,36.7,1.2,8.0,17-12-2023,Low-Value,Chennai,41617.86,30-12-2024,,,
2024-10-27,1358,Campaign_1358,YouTube,451565,8353,3357.62,422,62824.25,425.0,Store_425,Chennai,3119.0,1097.0,Pune,22.6,1.1,9.0,10-07-2023,Medium-Value,Bengaluru,1832.36,17-09-2023,,,
2024-10-27,1358,Campaign_1358,YouTube,451565,8353,3357.62,422,62824.25,425.0,Store_425,Chennai,3119.0,1097.0,Chennai,36.6,3.9,10.0,20-04-2024,Medium-Value,Kolkata,5311.48,14-08-2025,,,
2024-10-27,1358,Campaign_1358,YouTube,451565,8353,3357.62,422,62824.25,425.0,Store_425,Chennai,3119.0,1097.0,Pune,36.7,1.2,11.0,03-02-2023,Low-Value,Mumbai,39304.16,31-10-2023,,,
2024-10-27,1358,Campaign_1358,YouTube,451565,8353,3357.62,422,62824.25,751.0,Store_751,Pune,725.0,2163.0,Pune,22.6,1.1,12.0,25-11-2023,Medium-Value,Hyderabad,43703.11,02-08-2024,,,
2024-10-27,1358,Campaign_1358,YouTube,451565,8353,3357.62,422,62824.25,751.0,Store_751,Pune,725.0,2163.0,Chennai,36.6,3.9,13.0,19-10-2024,Low-Value,Delhi,8597.32,09-05-2025,,,
2024-10-27,1358,Campaign_1358,YouTube,451565,8353,3357.62,422,62824.25,751.0,Store_751,Pune,725.0,2163.0,Pune,36.7,1.2,14.0,07-10-2023,Medium-Value,Hyderabad,16331.44,04-05-2024,,,
2024-06-19,6117,Campaign_6117,LinkedIn,200823,7062,3177.22,386,57464.84,958.0,Store_958,Chennai,1262.0,1348.0,Hyderabad,33.9,1.7,15.0,09-07-2023,High-Value,Hyderabad,29083.53,09-09-2024,,,
2024-06-19,6117,Campaign_6117,LinkedIn,200823,7062,3177.22,386,57464.84,958.0,Store_958,Chennai,1262.0,1348.0,Delhi,25.8,2.4,16.0,27-02-2023,Low-Value,Delhi,2674.29,16-09-2024,,,
2024-06-19,6117,Campaign_6117,LinkedIn,200823,7062,3177.22,386,57464.84,958.0,Store_958,Chennai,1262.0,1348.0,Bengaluru,33.9,7.9,17.0,01-11-2023,High-Value,Bengaluru,17779.2,07-10-2024,,,
2024-06-19,6117,Campaign_6117,LinkedIn,200823,7062,3177.22,386,57464.84,533.0,Store_533,Kolkata,90.0,2552.0,Hyderabad,33.9,1.7,18.0,10-03-2024,Medium-Value,Kolkata,33844.77,08-08-2024,,,
2024-06-19,6117,Campaign_6117,LinkedIn,200823,7062,3177.22,386,57464.84,533.0,Store_533,Kolkata,90.0,2552.0,Delhi,25.8,2.4,19.0,25-05-2024,High-Value,Kolkata,8660.87,26-11-2024,,,
2024-06-19,6117,Campaign_6117,LinkedIn,200823,7062,3177.22,386,57464.84,533.0,Store_533,Kolkata,90.0,2552.0,Bengaluru,33.9,7.9,20.0,27-07-2024,Medium-Value,Pune,10816.78,11-12-2025,,,
2024-06-19,6117,Campaign_6117,LinkedIn,200823,7062,3177.22,386,57464.84,538.0,Store_538,Kolkata,4815.0,195.0,Hyderabad,33.9,1.7,21.0,12-11-2024,Low-Value,Pune,25140.37,06-04-2026,,,
2024-06-19,6117,Campaign_6117,LinkedIn,200823,7062,3177.22,386,57464.84,538.0,Store_538,Kolkata,4815.0,195.0,Delhi,25.8,2.4,22.0,29-06-2024,Medium-Value,Kolkata,32979.35,05-08-2024,,,
2024-06-19,6117,Campaign_6117,LinkedIn,200823,7062,3177.22,386,57464.84,538.0,Store_538,Kolkata,4815.0,195.0,Bengaluru,33.9,7.9,23.0,10-06-2024,High-Value,Delhi,46200.96,22-12-2025,,,
2024-07-26,4625,Campaign_4625,Meta Ads,29223,1892,1054.78,416,61931.02,570.0,Store_570,Kolkata,261.0,692.0,Chennai,35.2,2.5,24.0,08-02-2024,Medium-Value,Bengaluru,25656.5,23-08-2025,,,
